Source,Head,Head_Type,Relation,Tail,Tail_Type,Context
https://www.space.com/space-exploration/artemis/nasa-cancels-artemis-3-astronaut-moon-landing-this-is-just-not-the-right-pathway-forward,Jared Isaacman,PERSON,announce on,Friday,DATE,"In short, Artemis 3 is changing from a crewed mission to the lunar surface to an Earth-orbit rendezvous of NASA's Orion spacecraft with one or more of the program's moon landers in 2027, NASA Administrator Jared Isaacman announced on Friday (Feb. 27)."
https://www.space.com/space-exploration/artemis/nasa-cancels-artemis-3-astronaut-moon-landing-this-is-just-not-the-right-pathway-forward,Isaacman,PERSON,tell,Space.com,ORG,"""I think what we're doing is directly in line with what ASAP asked us to do,"" Isaacman told Space.com during Friday's briefing."
https://www.space.com/space-exploration/artemis/nasa-cancels-artemis-3-astronaut-moon-landing-this-is-just-not-the-right-pathway-forward,Lori Glaze,PERSON,say on,Friday,DATE,"""The suspected system component for the helium flow will be removed, and they're going to undergo detailed sections and assess the cause of the issue,"" Lori Glaze, acting associate administrator for NASA's Exploration Systems Development Mission Directorate, said on Friday."
https://www.space.com/space-exploration/artemis/nasa-cancels-artemis-3-astronaut-moon-landing-this-is-just-not-the-right-pathway-forward,Artemis,ORG,send in,late 2022,DATE,Artemis 1 successfully sent an uncrewed Orion capsule to lunar orbit and back to Earth in late 2022.
https://www.space.com/16830-full-moon-calendar.html,Harvest Moon,LOC,occur in,September,DATE,"Hungry Ghost Moon August Harvest Moon September Chrysanthemum Moon October Kindly Moon November White Moon December Bitter Moon Full moon names often correspond to seasonal markers, so a Harvest Moon occurs at the end of the growing season, in September or October, and the Cold Moon occurs in frosty December."
https://www.space.com/16830-full-moon-calendar.html,Harvest Moon,LOC,occur In,the Southern Hemisphere,LOC,"In the Southern Hemisphere, where the seasons are switched, the Harvest Moon occurs in March and the Cold Moon is in June."
https://www.space.com/16830-full-moon-calendar.html,Harvest Moon,LOC,occur in,March,DATE,"In the Southern Hemisphere, where the seasons are switched, the Harvest Moon occurs in March and the Cold Moon is in June."
https://www.space.com/space-exploration/missions/artemis,Artemis Latest,ORG,roll on,March 19,DATE,Artemis Latest about Artemis NASA will roll Artemis 2 moon rocket out to the launch pad on March 19
https://www.space.com/space-exploration/missions/artemis,NASA,ORG,complete By,Josh Dinner,PERSON,By Josh Dinner published NASA has completed the Artemis 2 flight readiness review and plans to launch the historic moon mission as soon as April 1.
https://www.space.com/space-exploration/missions/artemis,Mike Wall,PERSON,publish,NASA,ORG,"Watch NASA's mission update today By Mike Wall published NASA will give an update about its Artemis 2 moon launch plans today (March 12), and you can watch it live."
https://www.space.com/nasa-artemis-moon-program-93-billion-2025,NASA,ORG,miss by,several years,DATE,"The new OIG report, which was apparently written before Nelson's announcement, estimates that NASA will miss the Trump administration's late-2024 landing goal ""by several years."""
https://www.space.com/nasa-artemis-moon-program-93-billion-2025,NASA,ORG,select In,April 2021,DATE,"In April 2021, NASA selected SpaceX to provide the initial Artemis HLS, which will be a version of the company's huge Starship vehicle."
https://www.space.com/nasa-artemis-moon-program-93-billion-2025,NASA,ORG,target,February 2022,DATE,NASA is targeting February 2022 for the launch of Artemis 1.
https://www.space.com/nasa-artemis-moon-program-93-billion-2025,OIG,ORG,release Over,the past five years,DATE,"Over the past five years, however, the OIG and the Government Accountability Office have released 21 reports ""of significant relevance to the subject of this report,"" the audit states."
https://www.space.com/nasa-artemis-moon-program-93-billion-2025,Mike Wall,PERSON,be,Grand Central Publishing,ORG,"Mike Wall is the author of ""Out There"" (Grand Central Publishing, 2018; illustrated by Karl Tate), a book about the search for alien life."
https://www.space.com/27824-orion-spacecraft.html,Lockheed Martin,PERSON,win in,August 2006,DATE,"The company began work on the spacecraft in 2004 during a competition for the contract, which was valued at up to $8.15 billion when Lockheed Martin won it in August 2006."
https://www.space.com/27824-orion-spacecraft.html,NASA,ORG,hint In,early 2011,DATE,"In early 2011, NASA hinted that the Orion spacecraft could be repurposed for their new directive."
https://www.space.com/27824-orion-spacecraft.html,Doug Cooke,PERSON,say on,"May 24, 2011",DATE,"""We made this choice based on the progress that's been made to date,"" Doug Cooke, associate administrator for NASA's Exploration Systems Mission Directorate in Washington, D.C., said to reporters on May 24, 2011."
https://www.space.com/27824-orion-spacecraft.html,NASA,ORG,pull from,decades,DATE,"NASA is pulling from decades of research on the International Space Station, the shuttle and earlier programs to keep the astronauts safe and comfortable."
https://www.space.com/27824-orion-spacecraft.html,Trump,ORG,direct,NASA,ORG,"Orion was originally imagined to bring astronauts to multiple destinations in deep space, but Trump directed NASA to pivot to a moon landing to as soon as 2024, necessitating that the spacecraft be repurposed for lunar work."
https://www.space.com/space-exploration/moon-landings-asteroid-missions-and-new-telescopes-here-are-the-top-spaceflight-moments-to-look-forward-to-in-2026,BepiColombo,ORG,reach,Mercury,ORG,"BepiColombo finally reaches Mercury After an eight-year journey involving multiple gravity-assist flybys of Earth, Venus and Mercury, ESA and JAXA's BepiColombo mission will enter orbit around Mercury in November 2026."
https://www.space.com/space-exploration/moon-landings-asteroid-missions-and-new-telescopes-here-are-the-top-spaceflight-moments-to-look-forward-to-in-2026,BepiColombo,ORG,reach,Mercury,ORG,"Once BepiColombo reaches Mercury, the spacecraft will separate into two science orbiters: ESA's Mercury Planetary Orbiter (MPO), which will study the planet's surface and interior, and JAXA's Mercury Magnetospheric Orbiter (MMO), which will focus on Mercury's powerful and highly dynamic magnetic environment."
https://www.space.com/space-exploration/moon-landings-asteroid-missions-and-new-telescopes-here-are-the-top-spaceflight-moments-to-look-forward-to-in-2026,Samantha Mathewson,PERSON,join,Space.com,ORG,Samantha Mathewson joined Space.com as an intern in the summer of 2016.
https://www.space.com/space-exploration/artemis/historic-artemis-2-moon-launch-may-be-just-1-month-away,Sean Duffy,PERSON,announce in,October,DATE,"To avoid this, former NASA Acting Administrator Sean Duffy announced in October that he was considering reopening the HLS contract to alternative landers that could be made ready at an earlier date."
